155;20;R12
165;25;R13
175;30;R14
185;35;R15
195;40;R16
205;45;R17
215;50;R18
225;55;R19
235;60;R20
245;65;R21
255;70;R22
265;75;
;80;
;85;
;90;
;95;
;100;
